Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
single,Change of course,1,Nursing,daytime,Secondary education,120.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Master's,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",136.6,no,no,no,yes,male,no,23,no,0,7,14,5,11.94,0,0,7,14,6,12.2,0,13.9,-0.3,0.79,Dropout
single,3rd phase - general contingent,3,Informatics Engineering,daytime,Secondary education,111.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,111.0,yes,no,no,yes,male,no,18,no,0,5,10,4,11.6,0,0,5,9,3,14.2,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,3,Advertising and Marketing Management,daytime,Secondary education,106.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,105.7,yes,no,no,yes,male,no,19,no,0,6,6,6,13.333333333333334,0,0,6,9,5,13.8,0,8.9,1.4,3.51,Not Dropout
single,1st phase - general contingent,1,Management,daytime,Secondary education,151.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",137.0,yes,no,no,yes,male,no,18,no,0,5,5,5,13.4,0,0,5,5,5,15.0,0,8.9,1.4,3.51,Not Dropout
married,Over 23 years old,1,Tourism,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Unknown,Unknown,Student,Student,120.0,no,no,yes,no,male,no,45,no,0,6,12,0,0.0,0,0,6,12,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,Over 23 years old,1,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Unknown,Unknown,Student,Student,120.5,yes,no,no,yes,male,no,30,no,0,5,5,2,11.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,Change of institution/course,1,Management (evening attendance),evening,Technological specialization course,120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Master's,Administrative staff,Armed Forces Professions,118.1,no,no,no,yes,male,no,28,no,13,15,17,13,12.0,0,9,13,13,9,11.333333333333334,0,8.9,1.4,3.51,Dropout
single,Over 23 years old,1,Management (evening attendance),evening,Secondary education,110.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,139.0,no,no,no,yes,male,no,40,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,Over 23 years old,2,Management,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Armed Forces Professions,116.3,no,no,no,no,male,no,32,no,0,5,5,0,0.0,0,0,5,9,0,0.0,0,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,5,Tourism,daytime,Secondary education,118.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",120.5,yes,no,no,yes,male,no,19,no,0,6,12,4,12.5,0,0,6,12,4,10.25,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,1,Communication Design,daytime,Secondary education,139.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,134.9,yes,no,no,yes,male,no,20,no,0,6,7,6,13.666666666666666,0,0,6,7,6,12.166666666666666,1,16.2,0.3,-0.92,Not Dropout
single,2nd phase - general contingent,1,Informatics Engineering,daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,123.0,no,no,no,yes,male,no,18,no,0,5,10,1,10.0,0,0,5,7,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,132.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,122.9,no,no,no,no,male,no,20,no,0,6,6,6,11.5,0,0,6,9,2,13.0,0,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,3,Nursing,daytime,Secondary education,156.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,132.3,yes,no,no,yes,male,yes,18,no,0,7,7,6,13.266666666666666,0,0,7,7,6,13.266666666666666,0,7.6,2.6,0.32,Not Dropout
single,2nd phase - general contingent,4,Nursing,daytime,Secondary education,143.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",131.5,yes,no,no,yes,male,yes,18,no,0,7,8,7,12.5125,0,0,8,8,8,14.1875,0,13.9,-0.3,0.79,Not Dropout
married,Change of course,1,Equinculture,daytime,12th year of schooling - not completed,133.1,Portuguese,Unknown,Unknown,Student,Student,128.2,no,no,no,yes,male,no,28,no,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,Over 23 years old,1,Advertising and Marketing Management,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,148.0,yes,no,no,no,male,no,31,no,0,6,14,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,127.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,121.5,no,no,no,yes,male,no,23,no,0,7,7,6,13.483333333333334,0,0,7,7,6,13.483333333333334,0,7.6,2.6,0.32,Not Dropout
single,Over 23 years old,1,Social Service,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,139.0,no,no,yes,no,male,no,33,no,0,6,8,0,0.0,0,0,5,6,0,0.0,0,16.2,0.3,-0.92,Dropout
single,Change of course,1,Management,daytime,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,113.4,no,no,no,yes,male,no,22,no,0,5,9,3,13.0,0,0,5,9,3,11.666666666666666,0,12.7,3.7,-1.7,Dropout
single,Technological specialization diploma holders,1,Informatics Engineering,daytime,Technological specialization course,150.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,150.0,yes,no,yes,yes,male,no,20,no,0,5,6,5,16.5,0,0,5,7,5,17.714285714285715,0,12.4,0.5,1.79,Dropout
single,Technological specialization diploma holders,1,Veterinary Nursing,daytime,Technological specialization course,150.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",150.0,yes,no,no,yes,male,no,20,no,1,6,11,6,13.8,0,1,6,7,6,13.142857142857142,0,16.2,0.3,-0.92,Not Dropout
single,Over 23 years old,1,Agronomy,daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,140.0,no,no,no,no,male,no,25,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout
single,1st phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,141.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Administrative staff,140.7,yes,no,no,yes,male,no,20,no,0,5,5,5,12.6,0,0,5,6,4,14.5,1,7.6,2.6,0.32,Not Dropout
single,2nd phase - general contingent,5,Journalism and Communication,daytime,Secondary education,146.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",146.7,yes,no,no,yes,male,no,19,no,0,6,7,6,13.833333333333334,0,0,6,8,6,13.625,0,7.6,2.6,0.32,Not Dropout
single,Over 23 years old,1,Equinculture,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Unknown,Unknown,(blank),(blank),96.0,no,no,no,yes,male,no,31,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,Technological specialization diploma holders,1,Informatics Engineering,daytime,Technological specialization course,160.0,Portuguese,Higher Education - Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,160.0,no,no,yes,no,male,no,24,no,2,6,6,2,16.0,0,2,7,7,2,16.0,0,8.9,1.4,3.51,Dropout
single,Technological specialization diploma holders,1,Informatics Engineering,daytime,Technological specialization course,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Degree,Intermediate Level Technicians and Professions,Administrative staff,130.0,no,no,yes,no,male,no,23,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
married,Over 23 years old,1,Management (evening attendance),evening,Secondary education,160.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Specialists in Intellectual and Scientific Activities,130.0,no,no,no,no,male,yes,26,no,0,5,12,3,10.666666666666666,0,0,5,11,3,10.666666666666666,0,9.4,-0.8,-3.12,Dropout
married,Change of course,1,Communication Design,daytime,Higher education - bachelor's degree,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",140.0,yes,no,no,yes,male,no,38,no,14,18,18,18,14.5,0,13,18,18,18,14.5,0,16.2,0.3,-0.92,Not Dropout
single,1st phase - general contingent,6,Informatics Engineering,daytime,Secondary education,126.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,116.6,yes,no,no,yes,male,yes,20,no,0,5,6,5,14.0,0,0,5,7,5,13.8,0,8.9,1.4,3.51,Not Dropout
single,2nd phase - general contingent,5,Informatics Engineering,daytime,Secondary education,118.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.5,yes,no,no,yes,male,no,20,no,0,5,10,3,13.333333333333334,0,0,5,11,5,13.571428571428571,0,12.4,0.5,1.79,Not Dropout
single,Over 23 years old,1,Veterinary Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",103.0,no,no,no,yes,male,no,25,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,1,Informatics Engineering,daytime,Secondary education,148.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",148.7,no,no,no,yes,male,no,18,no,0,5,6,5,16.2,0,0,5,8,5,16.0,0,8.9,1.4,3.51,Not Dropout
single,Change of course,1,Management (evening attendance),evening,Other - 11th year of schooling,133.1,Portuguese,Other - 11th Year of Schooling,Other - 11th Year of Schooling,Unskilled Workers,Unskilled Workers,120.0,no,no,no,yes,male,no,28,no,7,13,13,7,10.285714285714286,0,5,11,13,5,10.6,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,1,Tourism,daytime,Secondary education,132.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.1,yes,no,no,yes,male,yes,20,no,0,6,7,6,13.571428571428571,0,0,6,8,6,13.166666666666666,0,8.9,1.4,3.51,Not Dropout
single,1st phase - general contingent,1,Equinculture,daytime,Secondary education,140.0,Portuguese,Higher Education - Master's,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,127.8,no,no,no,yes,male,no,18,no,0,6,7,6,14.285714285714286,0,0,6,9,6,14.857142857142858,0,11.1,0.6,2.02,Not Dropout
single,2nd phase - general contingent,3,Management,daytime,Secondary education,112.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,106.4,yes,no,no,yes,male,no,19,no,0,5,7,5,10.2,0,0,5,6,4,10.5,0,12.4,0.5,1.79,Not Dropout
single,Transfer,1,Nursing,daytime,Secondary education,100.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,100.0,no,no,yes,yes,male,no,24,no,0,8,16,2,10.25,1,0,8,16,2,10.25,1,12.7,3.7,-1.7,Dropout
single,2nd phase - general contingent,4,Veterinary Nursing,daytime,Secondary education,126.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",123.9,yes,no,no,yes,male,no,21,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,150.0,Portuguese,Higher Education - Degree,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",139.5,no,no,no,yes,male,yes,20,no,0,6,7,6,14.833333333333334,0,0,6,6,6,14.833333333333334,0,12.7,3.7,-1.7,Not Dropout
single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization course,150.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,150.0,yes,no,no,yes,male,no,21,no,0,6,12,5,13.625,0,0,6,6,5,12.6,0,13.9,-0.3,0.79,Not Dropout
single,Over 23 years old,1,Management (evening attendance),evening,Secondary education,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,154.4,no,no,no,yes,male,no,27,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,1,Social Service (evening attendance),evening,Secondary education,133.1,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",119.0,no,no,no,yes,male,no,39,no,3,9,10,9,13.22222222222222,0,2,7,8,7,13.142857142857142,0,8.9,1.4,3.51,Not Dropout
single,Holders of other higher courses,1,Animation and Multimedia Design,daytime,Higher education - degree,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,Unskilled Workers,Specialists in Intellectual and Scientific Activities,130.0,no,no,no,no,male,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,Change of course,1,Communication Design,daytime,Secondary education,133.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,Unskilled Workers,Specialists in Intellectual and Scientific Activities,128.8,no,no,no,yes,male,no,19,no,6,12,12,12,13.166666666666666,0,6,12,12,12,13.0,0,10.8,1.4,1.74,Not Dropout
single,3rd phase - general contingent,1,Journalism and Communication,daytime,Secondary education,124.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,126.8,no,no,no,yes,male,yes,21,no,0,6,8,5,13.833333333333334,0,0,6,6,4,14.0,0,13.9,-0.3,0.79,Not Dropout
single,Holders of other higher courses,1,Management (evening attendance),evening,Higher education - degree (1st cycle),130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,130.0,no,no,no,yes,male,no,27,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,8.9,1.4,3.51,Dropout
single,1st phase - general contingent,3,Journalism and Communication,daytime,Secondary education,127.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Intermediate Level Technicians and Professions,133.7,yes,no,yes,yes,male,no,18,no,0,6,6,6,13.0,0,0,6,7,5,11.8,0,12.7,3.7,-1.7,Dropout
single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization course,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,140.0,no,no,no,yes,male,no,19,no,0,6,15,3,13.25,0,0,6,9,1,12.0,0,13.9,-0.3,0.79,Dropout
single,1st phase - special contingent (Madeira Island),2,Social Service,daytime,Secondary education,133.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",133.7,yes,no,no,yes,female,no,18,no,0,6,6,6,13.5,0,0,6,6,6,12.166666666666666,0,10.8,1.4,1.74,Not Dropout
single,1st phase - special contingent (Madeira Island),4,Journalism and Communication,daytime,Secondary education,109.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,137.0,yes,no,no,yes,female,yes,18,no,0,6,7,6,12.666666666666666,0,0,6,8,5,12.8,0,10.8,1.4,1.74,Not Dropout
single,Change of course,1,Management,daytime,Secondary education,133.1,Portuguese,Higher Education - Master's,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",128.2,no,no,no,yes,female,no,23,no,7,11,18,11,15.090909090909092,1,2,6,7,6,14.5,0,9.4,-0.8,-3.12,Dropout
single,3rd phase - general contingent,4,Animation and Multimedia Design,daytime,Secondary education,133.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Master's,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",129.2,yes,no,yes,no,male,no,20,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,3,Journalism and Communication,daytime,Secondary education,134.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,129.5,yes,no,no,yes,male,no,18,no,0,6,7,6,13.166666666666666,0,0,6,7,6,12.666666666666666,0,16.2,0.3,-0.92,Not Dropout
single,1st phase - general contingent,4,Journalism and Communication,daytime,Secondary education,125.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",129.6,yes,no,no,yes,male,no,18,no,0,6,6,6,12.833333333333334,0,0,6,8,6,12.833333333333334,0,12.4,0.5,1.79,Not Dropout
single,2nd phase - general contingent,2,Journalism and Communication,daytime,Secondary education,132.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,141.8,yes,no,no,yes,male,no,20,no,0,6,6,6,11.833333333333334,0,0,6,6,6,12.166666666666666,0,12.7,3.7,-1.7,Not Dropout
single,1st phase - general contingent,3,Journalism and Communication,daytime,Secondary education,135.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Administrative staff,129.8,yes,no,no,yes,male,no,20,no,0,6,6,5,12.8,0,0,6,11,3,12.75,0,15.5,2.8,-4.06,Not Dropout
single,Technological specialization diploma holders,1,Communication Design,daytime,Technological specialization course,100.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,106.0,no,no,no,yes,male,no,21,no,2,7,7,5,11.8,0,5,9,9,5,11.0,0,12.4,0.5,1.79,Dropout
single,2nd phase - general contingent,1,Informatics Engineering,daytime,Secondary education,125.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,121.5,yes,no,no,yes,male,no,20,no,0,5,7,5,15.8,0,0,5,7,5,14.571428571428571,0,11.1,0.6,2.02,Dropout
single,2nd phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,117.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,117.7,yes,no,no,yes,male,no,20,no,0,6,9,6,14.666666666666666,0,0,6,7,6,13.857142857142858,0,8.9,1.4,3.51,Not Dropout
single,Technological specialization diploma holders,1,Veterinary Nursing,daytime,Technological specialization course,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",140.0,yes,no,no,yes,male,no,19,no,2,6,10,4,12.5,0,1,6,16,2,12.0,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,1,Informatics Engineering,daytime,Secondary education,132.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Other - 11th Year of Schooling,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,133.1,yes,no,no,yes,male,no,19,no,0,5,7,3,12.0,0,0,6,10,2,10.5,0,11.1,0.6,2.02,Dropout
single,2nd phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,132.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,119.1,no,no,yes,yes,male,no,18,no,0,6,6,3,12.666666666666666,0,0,6,11,4,11.142857142857142,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,1,Social Service,daytime,Secondary education,133.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",131.3,yes,no,yes,yes,female,no,18,no,0,6,7,5,13.6,0,0,6,7,5,11.8,0,8.9,1.4,3.51,Dropout
single,2nd phase - general contingent,5,Journalism and Communication,daytime,Secondary education,143.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",136.7,yes,no,no,yes,female,no,18,no,0,6,6,6,12.5,0,0,6,6,6,13.833333333333334,0,8.9,1.4,3.51,Not Dropout
single,2nd phase - general contingent,1,Social Service,daytime,Secondary education,143.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,126.2,yes,no,no,yes,female,yes,21,no,0,6,7,6,13.333333333333334,0,0,6,7,6,13.5,0,12.4,0.5,1.79,Not Dropout
single,International student (bachelor),1,Veterinary Nursing,daytime,Secondary education,133.1,Brazilian,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,109.6,no,no,no,yes,female,no,18,yes,0,6,13,4,12.25,0,0,6,15,5,11.0,0,11.1,0.6,2.02,Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,141.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,131.9,yes,no,no,yes,female,yes,18,no,0,7,7,7,15.101428571428572,0,0,8,8,8,16.09375,0,11.1,0.6,2.02,Not Dropout
single,1st phase - general contingent,2,Social Service,daytime,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,140.7,yes,no,no,yes,female,yes,18,no,0,6,6,6,13.166666666666666,0,0,6,6,6,16.0,0,10.8,1.4,1.74,Not Dropout
single,3rd phase - general contingent,6,Social Service (evening attendance),evening,Secondary education,134.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Administrative staff,120.7,yes,no,no,yes,female,no,23,no,0,6,8,4,11.0,0,0,6,6,0,0.0,0,13.9,-0.3,0.79,Dropout
single,1st phase - general contingent,2,Management,daytime,Secondary education,118.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Administrative staff,113.8,yes,no,no,yes,female,no,21,no,0,5,9,3,11.666666666666666,0,0,5,9,4,11.75,0,8.9,1.4,3.51,Not Dropout
